1,It is raining offers today.
0,It is raining outside.
1,Check out my latest video!
0,Make sure you have checked all the important details before the meeting.
0,There are no free lunches.
1,Visit now to get a free voucher.
1,"The offer exists only till midnight, hurry!"
0,The deadline needs to be met before midnight.
0,The sales target needs to be met.
0,The offer stands for Seattle and Redmond office.
0,Make hay while the sun shines.
0,Please reach venue 15 minutes before the scheduled time.
1,"Time is running out, hurry!"
1,It looks like you may have left something in your basket.
0,"I have a lot on my plate now, will get back on this by Monday."
0,Could you please send other details for the meeting.
1,"Rohit, stand out this season!"
0,"Hi Aman, Which office would you be working in for the coming week?"
1,Looking for a change?
0,The change in time for the meeting may cause a little delay for the event.
1,Do not miss this opportunity!
1,"Are you still looking for the couches, look no more!"
0,I have been looking for the solution and consulted with a lot of experts.
0,I am looking forward to a constructive outcome.
0,Eagerly waiting for your reply.
0,"There is a delay in the flight, will check in post lunch."
1,"Rekha, looks like you were searching for tops."
1,We have assorted the perfect collection for you.
0,Let's meet tomorrow at 5.
1,"The offer ends at 5, hurry!"
0,"I was in a hurry, so I may have left those documents in the drawer."
0,"Tomorrow, 3 PM would be a good time, let's discuss then."
0,Let's make it happen!
1,Now select from the best styles!
1,Earn and redeem payback points with partner brands.
1,"Hurry, go cashless and make the most of this exciting offer!"
1,It's time to shop your heart out with payback.
1,This festive season get exciting cashback offers on EMI transactions with your ICICI credit card.
0,I worked on this for over a month and the results are exciting.
0,Please could you connect me with him?
1,"Congratulation, you have a won a Ford!"
1,"Congratulation, you have a won an iPhone, visit our website to claim it!"